School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,lat,lon
Illinois Institute of Technology (IIT),Midwestern,"$56,000.00","$97,800.00","$56,100.00","$77,400.00","$121,000.00","$165,000.00",,
Case Western Reserve University,Midwestern,"$56,200.00","$96,500.00","$54,900.00","$76,500.00","$123,000.00","$168,000.00",41.50138695,-81.60070216600491
University of Illinois at Urbana-Champaign (UIUC),Midwestern,"$52,900.00","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00",,
Northwestern University,Midwestern,"$52,700.00","$95,900.00","$51,900.00","$69,100.00","$144,000.00","$205,000.00",42.0557157,-87.67529454739416
University of Missouri - Rolla (UMR),Midwestern,"$57,100.00","$95,800.00","$67,600.00","$80,400.00","$122,000.00","$166,000.00",,
South Dakota School of Mines & Technology,Midwestern,"$55,800.00","$93,400.00","$71,500.00","$81,900.00","$122,000.00","$147,000.00",44.0739534,-103.20566215641483
University of Michigan,Midwestern,"$52,700.00","$93,000.00","$50,900.00","$69,400.00","$128,000.00","$182,000.00",42.2942142,-83.71003893509601
Purdue University,Midwestern,"$51,400.00","$90,500.00","$49,900.00","$67,400.00","$121,000.00","$168,000.00",40.430028,-86.92642114650494
Marquette University,Midwestern,"$48,500.00","$88,400.00","$49,500.00","$67,400.00","$121,000.00","$184,000.00",43.03888115,-87.93158327046632
DePauw University,Midwestern,"$41,400.00","$88,200.00","$49,500.00","$57,400.00","$133,000.00","$185,000.00",39.63804945,-86.86687365754466
University of Wisconsin (UW) - Madison,Midwestern,"$48,900.00","$87,800.00","$47,400.00","$62,400.00","$118,000.00","$170,000.00",43.080274450000005,-89.43095871991434
Bradley University,Midwestern,"$47,000.00","$87,300.00","$45,900.00","$64,900.00","$113,000.00","$151,000.00",40.6981131,-89.61551386208208
St. Olaf College,Midwestern,"$45,300.00","$86,200.00","$41,300.00","$61,000.00","$120,000.00","$185,000.00",44.4640025,-93.18717910671347
Michigan State University (MSU),Midwestern,"$46,300.00","$85,300.00","$44,200.00","$61,500.00","$119,000.00","$170,000.00",45.4219774,-83.8181266
DePaul University,Midwestern,"$46,400.00","$84,800.00","$50,300.00","$63,900.00","$115,000.00","$160,000.00",41.877786900000004,-87.62643126078129
Iowa State University,Midwestern,"$45,400.00","$84,600.00","$44,400.00","$60,000.00","$109,000.00","$147,000.00",42.02790455,-93.6446129710682
University of Minnesota,Midwestern,"$46,200.00","$84,200.00","$49,000.00","$63,200.00","$112,000.00","$148,000.00",48.3785292,-92.83116591263175
"Indiana University (IU), Bloomington",Midwestern,"$46,300.00","$84,000.00","$43,600.00","$60,400.00","$119,000.00","$178,000.00",39.1802358,-86.50935262731483
University of Iowa (UI),Midwestern,"$44,700.00","$83,900.00","$43,300.00","$61,100.00","$116,000.00","$163,000.00",,
Ohio State University (OSU),Midwestern,"$44,900.00","$83,700.00","$45,500.00","$60,700.00","$116,000.00","$162,000.00",40.08113710000001,-83.07348313724086
Denison University,Midwestern,"$42,000.00","$83,500.00",,"$62,100.00","$122,000.00",,40.07300505,-82.52248588003852
University of Illinois at Chicago,Midwestern,"$47,500.00","$81,700.00","$44,700.00","$58,800.00","$110,000.00","$146,000.00",41.868922299999994,-87.64858476010119
Oberlin College,Midwestern,"$43,400.00","$81,600.00",,"$46,400.00","$128,000.00",,41.2959178,-82.22146700795557
University of Kansas,Midwestern,"$42,400.00","$81,600.00","$44,800.00","$57,200.00","$115,000.00","$156,000.00",38.953491799999995,-95.26308879955823
University of Missouri - Columbia,Midwestern,"$41,700.00","$81,000.00","$43,500.00","$57,100.00","$111,000.00","$156,000.00",38.93641465,-92.32970301784542
University of Nebraska,Midwestern,"$45,700.00","$80,900.00","$42,200.00","$56,600.00","$113,000.00","$156,000.00",40.8229219,-96.70405844999999
Northern Illinois University (NIU),Midwestern,"$43,600.00","$80,800.00","$43,900.00","$60,200.00","$111,000.00","$161,000.00",,
Gustavus Adolphus College,Midwestern,"$44,500.00","$80,600.00",,"$49,300.00","$101,000.00",,44.3217827,-93.97404805319042
University of North Dakota,Midwestern,"$44,000.00","$80,600.00","$43,400.00","$56,400.00","$111,000.00","$157,000.00",47.926541150000006,-97.07212085037051
Kansas State University (KSU),Midwestern,"$43,300.00","$79,000.00","$37,200.00","$54,100.00","$106,000.00","$138,000.00",39.195595499999996,-96.5847930111279
